length,radius,LRratio,MaxCurv,MinCurv,EqCCval
0.01,0.001,10.0,0.6160224634176991,0.5549330537343732,0.5671093011236019
0.108,0.01,10.8,0.6465638023640748,0.5714986916639477,0.5904171369160827
0.059,0.005,11.8,0.6531255244053225,0.568992936232176,0.593576164040571
0.108,0.009,12.0,0.6541466935404963,0.5713462005472693,0.5943468909686023
0.108,0.008,13.5,0.6637709757264373,0.5722030552174825,0.5997921181504805
0.059,0.004,14.75,0.6716273796507108,0.5760108633301495,0.604223660410364
0.108,0.007,15.429,0.6768480450854247,0.5700210672898881,0.6066127616947975
0.157,0.01,15.7,0.6787371441634679,0.5695338787723334,0.6068732107402833
0.157,0.009,17.444,0.6903596272109095,0.5713348835015606,0.6132927597480541
0.108,0.006,18.0,0.6946026093686681,0.5677593520080566,0.6149036416028686
0.157,0.008,19.625,0.7056737992169972,0.569029221760099,0.6204677471652393
0.059,0.003,19.667,0.705292823859677,0.5751509449872596,0.6215083213786842
0.206,0.01,20.6,0.712410858779966,0.5695671021802838,0.6246039169272883
0.108,0.005,21.6,0.7195708871368608,0.5683088547761793,0.6283948680921757
0.157,0.007,22.429,0.7253233937168828,0.5689755160641129,0.6312348570854853
0.206,0.009,22.889,0.7284008469511473,0.5693170285030252,0.6317890318646556
0.255,0.01,25.5,0.7472205099621828,0.5687426071775964,0.6412719722418515
0.206,0.008,25.75,0.7489653559021131,0.5690939771060695,0.6431200475561327
0.157,0.006,26.167,0.7519480977420294,0.5691800861540729,0.644250687015072
0.108,0.004,27.0,0.7579216941841308,0.5693444158729151,0.6475864242406487
0.255,0.009,28.333,0.7676588622934122,0.5685636359428701,0.6528106805687217
0.206,0.007,29.429,0.7755998887891323,0.568888075070167,0.6563483676631913
0.059,0.002,29.5,0.7763327736086731,0.566620838314212,0.6569621537572464
0.304,0.01,30.4,0.7827464324959075,0.5688078819005842,0.6602656189967863
0.157,0.005,31.4,0.7903812748668491,0.5661300311615884,0.6644953990947587
0.255,0.008,31.875,0.7935882413727621,0.5686497550270551,0.6646969048437581
0.304,0.009,33.778,0.8076204895299889,0.5692042126247199,0.6736084113743939
0.206,0.006,34.333,0.8099472943848285,0.5687405160761436,0.6734422416549911
0.353,0.01,35.3,0.8191899588045601,0.5674744128557411,0.6782093870185585
0.108,0.003,36.0,0.8245418306510797,0.5664155453623965,0.6810412977660991
0.255,0.007,36.429,0.8271554455539234,0.5688234561466716,0.6813304352970997
0.304,0.008,38.0,0.8393316297075334,0.5690473878311784,0.6873157321002851
0.353,0.009,39.222,0.8488184515053792,0.5670129532160009,0.6920739840994162
0.157,0.004,39.25,0.8489176380093092,0.5683319788331592,0.6925040888109641
0.402,0.01,40.2,0.856384672323744,0.5662043031695535,0.6958284486350922
0.206,0.005,41.2,0.8636710837605682,0.5667300054106663,0.7001510255248841
0.255,0.006,42.5,0.8740135389251087,0.5665929103352056,0.7051517521548126
0.304,0.007,43.429,0.8811642139758956,0.5669326155354559,0.7079279482188379
0.353,0.008,44.125,0.8866471374703162,0.5660686461139766,0.7108802127135109
0.402,0.009,44.667,0.8904539887312396,0.5699450910467458,0.7131105470024856
0.451,0.01,45.1,0.8942747667306445,0.5659929319561262,0.7148548906031336
0.5,0.01,50.0,0.93351352450621,0.5615157621565106,0.73426711180135
