length,radius,LRratio,MaxCurv,MinCurv,EqCCval
0.01,0.001,10.0,0.3360614596355135,0.3138861732906324,0.316601590694133
0.108,0.01,10.8,0.33736923131518853,0.3151536159238262,0.3177066711829057
0.059,0.005,11.8,0.3392113682301565,0.3153638500090009,0.3186603130515704
0.108,0.009,12.0,0.33955688112411386,0.31565068234087995,0.3190076711352418
0.108,0.008,13.5,0.34246235161114474,0.315285877388468,0.320740599466621
0.059,0.004,14.75,0.3451616833416263,0.3126683914247542,0.3217505543966429
0.108,0.007,15.429,0.34623184262193374,0.31531148393885816,0.32247153480524343
0.157,0.01,15.7,0.3467181293422229,0.3155284245509808,0.3223444961205073
0.157,0.009,17.444,0.35015220321674884,0.31558340191651935,0.3241249068797819
0.108,0.006,18.0,0.3514147583123665,0.3143781320484593,0.3254958552364773
0.157,0.008,19.625,0.3545928060386423,0.31497018995256126,0.32619936340515265
0.059,0.003,19.667,0.35455160597327906,0.3162462447016785,0.3267290449932547
0.206,0.01,20.6,0.356637520474307,0.3143657079673872,0.32778366370082407
0.108,0.005,21.6,0.3587353029507352,0.31370039437219743,0.32894467488693546
0.157,0.007,22.429,0.36037499979430776,0.3141790914854181,0.32987401350594814
0.206,0.009,22.889,0.36129313955408976,0.3142700688184516,0.3305878498245688
0.255,0.01,25.5,0.36654056433781806,0.315047479441003,0.33276855376942294
0.206,0.008,25.75,0.36708359523784734,0.3147773019703799,0.3327424321243201
0.157,0.006,26.167,0.3678760745309872,0.31521082509763226,0.33372188314556783
0.108,0.004,27.0,0.3697868644370541,0.313451076124072,0.3341026983388513
0.255,0.009,28.333,0.3724622592950702,0.3141480774460039,0.33549497531064865
0.206,0.007,29.429,0.3746255344642899,0.3150360424054245,0.33689976848819825
0.059,0.002,29.5,0.37463897246456,0.3161430550628787,0.3367925504726837
0.304,0.01,30.4,0.3766619253440914,0.31476110475718405,0.33766433024524845
0.157,0.005,31.4,0.3787697816263484,0.31441321958018853,0.33873825237376715
0.255,0.008,31.875,0.37972278756067873,0.3148407941659135,0.3393993608242621
0.304,0.009,33.778,0.38367859926068437,0.31474671923642344,0.3413958960567415
0.206,0.006,34.333,0.3849163261706452,0.3140832852956822,0.34183965674615097
0.353,0.01,35.3,0.38686353665534223,0.3145928289388605,0.3428370594660479
0.108,0.003,36.0,0.3882814799349319,0.31512638618972144,0.3441863748925328
0.255,0.007,36.429,0.3892547384119387,0.31429072538810077,0.34439646318955563
0.304,0.008,38.0,0.39255260404131614,0.3141755425230962,0.3458896042181637
0.353,0.009,39.222,0.39498632970752023,0.3151591641458287,0.3470977324139492
0.157,0.004,39.25,0.3950697213792479,0.31488206828715176,0.34714286217304
0.402,0.01,40.2,0.3970845626359706,0.3147838987786309,0.3480105712214711
0.206,0.005,41.2,0.3992063720291874,0.3145545872868577,0.3489132857895422
0.255,0.006,42.5,0.40184851450044967,0.31532576655920985,0.3501823657609777
0.304,0.007,43.429,0.4038234442279079,0.3151313886797164,0.35104153773083124
0.353,0.008,44.125,0.40526201912312065,0.3154458743931555,0.35227039617980027
0.402,0.009,44.667,0.4063328497307317,0.3159948451612099,0.35308680357130423
0.451,0.01,45.1,0.4071191456282133,0.3173355929296394,0.3534521129280543
0.5,0.01,50.0,0.4177471525261197,0.31466722985086815,0.3582203189038218
