0.37154+0.00031575i,-2.6808e-07+1.0586e-09i,0.10152-0.0009163i
0.37705+0.00032733i,-2.7487e-07+1.087e-09i,0.10408-0.00094145i
0.38255+0.00033909i,-2.817e-07+1.1156e-09i,0.10666-0.00096684i
0.38804+0.00035102i,-2.8856e-07+1.1443e-09i,0.10924-0.00099247i
0.39353+0.00036313i,-2.9545e-07+1.1732e-09i,0.11184-0.0010183i
0.39901+0.0003754i,-3.0236e-07+1.2022e-09i,0.11444-0.0010444i
0.40449+0.00038784i,-3.0931e-07+1.2313e-09i,0.11706-0.0010707i
0.40997+0.00040045i,-3.1628e-07+1.2605e-09i,0.11968-0.0010973i
0.41544+0.00041321i,-3.2328e-07+1.2898e-09i,0.12231-0.0011241i
0.42091+0.00042613i,-3.303e-07+1.3192e-09i,0.12495-0.0011511i
0.42637+0.0004392i,-3.3734e-07+1.3487e-09i,0.1276-0.0011783i
0.43183+0.00045242i,-3.444e-07+1.3783e-09i,0.13026-0.0012057i
0.43729+0.00046578i,-3.5148e-07+1.4079e-09i,0.13292-0.0012334i
0.44274+0.0004793i,-3.5858e-07+1.4376e-09i,0.13558-0.0012613i
0.44819+0.00049295i,-3.6569e-07+1.4673e-09i,0.13826-0.0012894i
0.45364+0.00050674i,-3.7282e-07+1.4971e-09i,0.14094-0.0013177i
0.45909+0.00052067i,-3.7997e-07+1.5269e-09i,0.14362-0.0013462i
0.46453+0.00053473i,-3.8713e-07+1.5567e-09i,0.14631-0.001375i
0.46998+0.00054892i,-3.943e-07+1.5865e-09i,0.149-0.0014039i
0.47542+0.00056323i,-4.0148e-07+1.6163e-09i,0.15169-0.0014331i
0.48085+0.00057767i,-4.0867e-07+1.6461e-09i,0.15439-0.0014625i
0.48629+0.00059224i,-4.1588e-07+1.6759e-09i,0.15709-0.0014921i
0.49173+0.00060692i,-4.2309e-07+1.7057e-09i,0.15979-0.0015219i
0.49716+0.00062172i,-4.3031e-07+1.7355e-09i,0.1625-0.0015519i
0.5026+0.00063664i,-4.3753e-07+1.7652e-09i,0.1652-0.0015821i
0.50803+0.00065168i,-4.4476e-07+1.7949e-09i,0.16791-0.0016125i
0.51347+0.00066682i,-4.52e-07+1.8245e-09i,0.17062-0.0016431i
0.5189+0.00068207i,-4.5925e-07+1.8541e-09i,0.17333-0.0016739i
0.52433+0.00069744i,-4.6649e-07+1.8836e-09i,0.17605-0.001705i
0.52976+0.00071291i,-4.7374e-07+1.9131e-09i,0.17876-0.0017362i
0.53519+0.00072848i,-4.81e-07+1.9425e-09i,0.18147-0.0017676i
0.54062+0.00074417i,-4.8826e-07+1.9718e-09i,0.18419-0.0017993i
0.54606+0.00075995i,-4.9552e-07+2.0011e-09i,0.1869-0.0018311i
0.55149+0.00077584i,-5.0278e-07+2.0303e-09i,0.18961-0.0018632i
0.55692+0.00079183i,-5.1005e-07+2.0594e-09i,0.19233-0.0018954i
0.56235+0.00080792i,-5.1732e-07+2.0885e-09i,0.19504-0.0019279i
