length,radius,LRratio,MaxCurv,MinCurv,EqCCval
0.01,0.001,10.0,0.7737972662808699,0.6843864560738222,0.7028686947676697
0.108,0.01,10.8,0.816543693203649,0.7032511071768527,0.7334967649392775
0.059,0.005,11.8,0.8261826830465305,0.7042703650376502,0.7391677816491051
0.108,0.009,12.0,0.828541060884436,0.7010720992518117,0.7400630777667994
0.108,0.008,13.5,0.8437150372591116,0.7011808171341136,0.7482345514825989
0.059,0.004,14.75,0.8570623080927309,0.6971050870505904,0.7558559332373409
0.108,0.007,15.429,0.8637512910876242,0.7007583947362322,0.7589527171960716
0.157,0.01,15.7,0.8667871152589709,0.699123804209873,0.7603313048980845
0.157,0.009,17.444,0.8853487260250371,0.6993820122722361,0.7703283822891764
0.108,0.006,18.0,0.8915332744061518,0.6973267071910987,0.7728465213278792
0.157,0.008,19.625,0.9090852307567331,0.6991036590533708,0.781639613773604
0.059,0.003,19.667,0.9101684903836537,0.6929401520906084,0.7818646091995873
0.206,0.01,20.6,0.920058632803589,0.6968170145745382,0.7875892942242492
0.108,0.005,21.6,0.931215043132146,0.6965136351623388,0.7931100927699651
0.157,0.007,22.429,0.9404861691129931,0.696595922374152,0.7988899348465085
0.206,0.009,22.889,0.945968442177329,0.6959128073654283,0.8014035362280136
0.255,0.01,25.5,0.9755360044306285,0.6954684287227675,0.8146216565697281
0.206,0.008,25.75,0.9783556669688529,0.6958427226991111,0.8166694998362444
0.157,0.006,26.167,0.9829876780526611,0.6975704426399496,0.8189248722150764
0.108,0.004,27.0,0.9927715572149405,0.6964571394786809,0.8241980590722711
0.255,0.009,28.333,1.012287357072716,0.6962807470820207,0.8315609964867329
0.206,0.007,29.429,1.0212971718620136,0.6962481769337528,0.8374519378312818
0.059,0.002,29.5,1.0226713156159346,0.6915082675521651,0.838782506888184
0.304,0.01,30.4,1.0329777356661554,0.6952920916085437,0.8434855370148743
0.157,0.005,31.4,1.0448487890145721,0.6963093462142181,0.8497399422884595
0.255,0.008,31.875,1.0507110886198943,0.6951599388114524,0.8532287250599263
0.304,0.009,33.778,1.0741065052060594,0.6927527765053565,0.8639137320630956
0.206,0.006,34.333,1.081395388270923,0.6905344836827093,0.8687624601940785
0.353,0.01,35.3,1.092872003667002,0.6926397097981212,0.8735775454092402
0.108,0.003,36.0,1.1013080077679132,0.6947753107559049,0.8776213635508013
0.255,0.007,36.429,1.1062885002644363,0.6935442769146973,0.8804784540264947
0.304,0.008,38.0,1.1268643794563826,0.6915178903581877,0.890037403059189
0.353,0.009,39.222,1.1425447388178402,0.6903193224423197,0.8979975487241245
0.157,0.004,39.25,1.142689442311662,0.692080583404815,0.8989715366938735
0.402,0.01,40.2,1.1547582438038315,0.6934650489143045,0.9040097622581847
0.206,0.005,41.2,1.1684049805372536,0.689353592052499,0.9086124345978676
0.255,0.006,42.5,1.1853709443501843,0.6877937052728156,0.9181281715087513
0.304,0.007,43.429,1.1977423472969544,0.6869909459610658,0.9244041242256064
0.353,0.008,44.125,1.2072639821107063,0.6846697296926438,0.9283995797834572
0.402,0.009,44.667,1.2143440427629635,0.6864934332759567,0.9316598847566901
0.451,0.01,45.1,1.2204237417848596,0.6838388366276507,0.9357238059552319
0.5,0.01,50.0,1.289091424102717,0.674434146438957,0.9682080477770534
