length,radius,LRratio,MaxCurv,MinCurv,EqCCval
0.01,0.001,10.0,0.48425470008616256,0.44306042425450914,0.44994378078315533
0.108,0.01,10.8,0.48750009929933236,0.43966865148587636,0.45097971290988603
0.059,0.005,11.8,0.4907739294658192,0.4436256741266478,0.453550719520935
0.108,0.009,12.0,0.4917994458664459,0.4412354584405288,0.45344388150685166
0.108,0.008,13.5,0.4971416290974459,0.44460652238131987,0.45832742183182545
0.059,0.004,14.75,0.5023104453517385,0.4418320352222266,0.45991628303414506
0.108,0.007,15.429,0.5048284783450622,0.4429896817512078,0.4616047109234734
0.157,0.01,15.7,0.505944250285081,0.44250708022109636,0.4625241717540201
0.157,0.009,17.444,0.5127543650274015,0.4436262471613295,0.4656105902147665
0.108,0.006,18.0,0.5153780866052387,0.4397869922774035,0.4665006683066071
0.157,0.008,19.625,0.521599869506106,0.44290950908831844,0.46952495526362625
0.059,0.003,19.667,0.5222593348720354,0.43846026564078217,0.46961101203271777
0.206,0.01,20.6,0.5258454438190122,0.4402632143160944,0.47218984649452106
0.108,0.005,21.6,0.529585591649539,0.4433176742178322,0.4729912330799149
0.157,0.007,22.429,0.5330020044535791,0.44310546290320113,0.4756867865119015
0.206,0.009,22.889,0.5350203698397821,0.44181438816046725,0.4762215413522553
0.255,0.01,25.5,0.5457202072866509,0.44232493043469506,0.4822533184262288
0.206,0.008,25.75,0.5468999337006916,0.4410456174305777,0.48218176002754026
0.157,0.006,26.167,0.5486536900080003,0.44081512252177024,0.4835162507672586
0.108,0.004,27.0,0.5522915536065518,0.4393343243852971,0.4843511059559003
0.255,0.009,28.333,0.5575659482267082,0.44182219973403525,0.4879197008729739
0.206,0.007,29.429,0.5620596298513738,0.4425397070391029,0.4907285415363542
0.059,0.002,29.5,0.5621456655162742,0.44441136614964916,0.49005515925248727
0.304,0.01,30.4,0.5661355774204079,0.44233292505576527,0.4923782382446748
0.157,0.005,31.4,0.5702793320672509,0.44303347683658284,0.49557400322158834
0.255,0.008,31.875,0.5724726848576205,0.4411182811687353,0.49584453944551216
0.304,0.009,33.778,0.580465560868464,0.44152424268710555,0.4997330209140694
0.206,0.006,34.333,0.582701500140568,0.44260721531551434,0.5000300150483359
0.353,0.01,35.3,0.586950532581838,0.4411516735259937,0.5026606836572722
0.108,0.003,36.0,0.5900138053633126,0.44053191953825,0.5038371673435362
0.255,0.007,36.429,0.5917700599695217,0.441001915064185,0.5052866076173195
0.304,0.008,38.0,0.5983506275796742,0.44198835381043555,0.5083508518904093
0.353,0.009,39.222,0.6035455098233906,0.44232262872123923,0.5112395746714029
0.157,0.004,39.25,0.6036688614706579,0.44222923036459993,0.5117425748146056
0.402,0.01,40.2,0.6076700547150673,0.44299732130784364,0.5132522728662621
0.206,0.005,41.2,0.6120486169989843,0.4421687710005717,0.5151352828576947
0.255,0.006,42.5,0.6176909234945879,0.4416315652732637,0.5183356643858263
0.304,0.007,43.429,0.6217856499425756,0.44098446795620116,0.5197053759626775
0.353,0.008,44.125,0.6247354555139204,0.4414318496458599,0.5215035452650097
0.402,0.009,44.667,0.6269265369079725,0.44293029826489216,0.523075367109596
0.451,0.01,45.1,0.6293436524523797,0.43798132316405225,0.5229166323329327
0.5,0.01,50.0,0.6507168315493422,0.4378370491435649,0.5342063140595537
