Length,radius,lrratio,TDL,Fratio,intercept,AvgCurv,pade_12,pade_22,pade_31,pade_32,pade_13,pade_23,-22/inter,pade_22/2,pade222-inter,pcterr,pade_22/2_adj,adj22/inter,adj22_pcterr,test,ln(lr(x-12.5))
0.059,0.002,29.5,0.001003371,7,9.536004511,8.503146564,-17.59472824,-17.44761946,478.0545341,-17.45233042,-17.88593008,-17.15030102,1.829657216,8.72380973,-0.81219478,8.51713922,8.753409184,0.917932576,8.206742416,8.293371066,1.08180517
0.059,0.002,29.5,0.001003806,7,9.526976701,8.506830771,-17.60261109,-17.4553737,478.0449738,-17.46009092,-17.89407442,-17.15779394,1.832204932,8.727686851,-0.79928985,8.389753381,8.757299129,0.919210722,8.078927829,8.296876446,1.08180517
0.059,0.002,29.5,0.001003806,7,9.526976701,8.506830771,-17.60261109,-17.4553737,478.0449738,-17.46009092,-17.89407442,-17.15779394,1.832204932,8.727686851,-0.79928985,8.389753381,8.757299129,0.919210722,8.078927829,8.296876446,1.08180517
0.059,0.002,29.5,0.001343231,9,13.15928522,11.38331407,-23.82741746,-23.56222013,470.5301842,-23.57376918,-24.36220675,-23.02425924,1.790539511,11.78111007,-1.378175157,10.47302444,11.82073538,0.898280961,10.17190386,11.01150427,1.08180517
0.059,0.002,29.5,0.001343231,9,13.15928522,11.38331407,-23.82741746,-23.56222013,470.5301842,-23.57376918,-24.36220675,-23.02425924,1.790539511,11.78111007,-1.378175157,10.47302444,11.82073538,0.898280961,10.17190386,11.01150427,1.08180517
0.059,0.002,29.5,0.001343894,9,13.14782171,11.38892935,-23.83970704,-23.57424495,470.5154141,-23.58581159,-24.37504964,-23.03574311,1.79301526,11.78712248,-1.360699232,10.34923702,11.82676734,0.899522948,10.04770522,11.01676063,1.08180517
0.059,0.002,29.5,0.00171494,11,17.31892848,14.53339304,-30.80712835,-30.37204278,462.1810338,-30.39665879,-31.70259832,-29.48583128,1.753690641,15.18602139,-2.132907084,12.31546794,15.23661213,0.879766445,12.02335552,13.93454753,1.08180517
0.059,0.002,29.5,0.001715311,11,17.31011548,14.53653346,-30.81417265,-30.37889622,462.1726457,-30.40352878,-31.71005373,-29.49229228,1.754979408,15.18944811,-2.120667373,12.25102961,15.24004978,0.880412947,11.95870531,13.93743624,1.08180517
0.059,0.002,29.5,0.001715311,11,17.31011548,14.53653346,-30.81417265,-30.37889622,462.1726457,-30.40352878,-31.71005373,-29.49229228,1.754979408,15.18944811,-2.120667373,12.25102961,15.24004978,0.880412947,11.95870531,13.93743624,1.08180517
0.059,0.002,29.5,0.002126339,13,22.22756025,18.01982016,-38.73447245,-38.06076442,452.7865276,-38.10896077,-40.15294348,-36.68213809,1.71232308,19.03038221,-3.197178035,14.383846,19.0931092,0.858983577,14.10164231,17.11117304,1.08180517
0.059,0.002,29.5,0.002126819,13,22.21153386,18.02388645,-38.74384413,-38.06982632,452.7754725,-38.11805683,-40.16300513,-36.69055856,1.713966561,19.03491316,-3.176620703,14.30167193,19.09765431,0.859807991,14.01920089,17.11484299,1.08180517
0.059,0.002,29.5,0.002126819,13,22.21153386,18.02388645,-38.74384413,-38.06982632,452.7754725,-38.11805683,-40.16300513,-36.69055856,1.713966561,19.03491316,-3.176620703,14.30167193,19.09765431,0.859807991,14.01920089,17.11484299,1.08180517
0.059,0.002,29.5,0.002596579,15,28.19486119,22.00490725,-48.06187235,-47.04885789,441.8374824,-47.13939983,-50.25131947,-44.96463719,1.668703299,23.52442894,-4.670432251,16.56483505,23.60102803,0.837068424,16.2931576,20.66977708,1.08180517
0.059,0.002,29.5,0.00259674,15,28.17297096,22.00627521,-48.0651237,-47.05198038,441.8336835,-47.14254018,-50.25486908,-44.96749065,1.670110704,23.52599019,-4.646980773,16.49446478,23.60259403,0.837774407,16.22255933,20.67098576,1.08180517
0.059,0.002,29.5,0.00259674,15,28.17297096,22.00627521,-48.0651237,-47.05198038,441.8336835,-47.14254018,-50.25486908,-44.96749065,1.670110704,23.52599019,-4.646980773,16.49446478,23.60259403,0.837774407,16.22255933,20.67098576,1.08180517
0.059,0.003,19.66666667,0.001004018,5,6.010453284,5.672420281,-11.73764117,-11.63944102,318.5965412,-11.64258787,-11.93203524,-11.44096939,1.936532982,5.81972051,-0.190732773,3.1733509,5.839466205,0.971551717,2.84482834,5.532392477,0.676340062
