Material,Length,radius,Fratio,TDL,slope,intercept,AvgCurv,CurvDiff
SUS304,0.01,0.001,11,8.084690774222868e-06,-0.10803599720380481,0.8090092574083058,0.8084690774222867,0.0005401799860190737
SUS304,0.01,0.001,13,9.876116503457299e-06,-0.1578627876935861,0.9884009642841978,0.9876116503457298,0.0007893139384679282
SUS304,0.01,0.001,15,1.1805763636306261e-05,-0.22114552179350072,1.1816820912395936,1.1805763636306261,0.0011057276089674328
SUS304,0.01,0.001,5,3.358312334790458e-06,-0.020658267842247516,0.33593452481825703,0.3358312334790458,0.00010329133921122002
SUS304,0.01,0.001,7,4.8391562906470584e-06,-0.04088904512504685,0.48412007429033105,0.4839156290647058,0.00020444522562523826
SUS304,0.01,0.001,9,6.4116432624760725e-06,-0.06984030192413541,0.6415135277572279,0.6411643262476072,0.0003492015096207002
SUS304,0.059,0.002,9,9.088544936576192e-05,-0.2095645955461873,0.7763978281598153,0.7702156725912027,0.006182155568612568
SUS304,0.059,0.002,11,0.00011937375298813594,-0.32728267829978136,1.021296813485572,1.0116419744757283,0.009654839009843652
SUS304,0.059,0.002,13,0.0001529165890856323,-0.4941423946934854,1.310480497979325,1.295903297335867,0.01457720064345791
SUS304,0.059,0.002,15,0.0001936072042380572,-0.7276700986608415,1.6622052868770814,1.6407390189665865,0.021466267910494885
SUS304,0.059,0.002,5,4.40289037902755e-05,-0.060635570680477646,0.37491505264249364,0.3731263033074195,0.0017887493350741135
SUS304,0.059,0.002,7,6.590777869187085e-05,-0.12037721971640321,0.56209162537037,0.5585404973887361,0.003551127981633928
SUS304,0.059,0.003,5,6.255888900218012e-05,-0.039887894363940066,0.35461674374351093,0.3534400508597747,0.00117669288373623
SUS304,0.059,0.003,7,9.194087389694606e-05,-0.0803365781997476,0.5218098945763618,0.5194399655194692,0.0023699290568925946
SUS304,0.059,0.003,9,0.00012425013751973018,-0.13789768985617037,0.7060461599283288,0.7019781780775717,0.004067981850757074
SUS304,0.059,0.003,11,0.00015987315876809914,-0.2137708511364569,0.9095444252390291,0.9032381851305037,0.006306240108525429
SUS304,0.059,0.003,13,0.00019975725518985563,-0.3161526408082621,1.137898566123367,1.1285720632195233,0.009326502903843625
SUS304,0.059,0.003,15,0.0002450080696378139,-0.4508188415888104,1.3975255379614118,1.384226382134542,0.013299155826869802
SUS304,0.059,0.004,11,0.00020115391369123834,-0.1600656315201893,0.8570690280418725,0.8523470919120268,0.004721936129845616
SUS304,0.059,0.004,13,0.0002481994253054469,-0.23280573704032645,1.0585602493505155,1.0516924801078258,0.006867769242689725
SUS304,0.059,0.004,15,0.0003003647944098779,-0.33044383205548783,1.2824802727485094,1.2727321797028726,0.009748093045636841
SUS304,0.059,0.004,5,8.119429195395969e-05,-0.030187030169562243,0.34493412736440754,0.3440436099744055,0.0008905173900020658
SUS304,0.059,0.004,7,0.00011806289456940188,-0.059741105881719075,0.5020288650362306,0.5002665024127199,0.0017623626235107048
SUS304,0.059,0.004,9,0.00015794471067930713,-0.10285400678851303,0.672291441841393,0.6692572486411319,0.003034193200261104
SUS304,0.059,0.005,5,9.984055796268878e-05,-0.023916024910277375,0.33914809209989993,0.33844256936504674,0.0007055227348531923
SUS304,0.059,0.005,7,0.00014436294885966072,-0.04814356520675435,0.4907861635114322,0.489365928337833,0.001420235173599238
SUS304,0.059,0.005,9,0.00019184498177871251,-0.0818777642822277,0.6527373661775546,0.6503219721312289,0.002415394046325736
SUS304,0.059,0.005,11,0.00024282275041290037,-0.12824868581761148,0.8269113037329767,0.8231279675013572,0.0037833362316195274
SUS304,0.059,0.005,13,0.00029754280197089126,-0.18576295220462324,1.014099674787973,1.0086196676979364,0.005480007090036487
SUS304,0.059,0.005,15,0.0003571444844082994,-0.2615470813676366,1.2183749080810211,1.210659269180676,0.007715638900345212
SUS304,0.108,0.003,5,0.00012446786909390105,-0.07314225784839726,0.3881097717198043,0.38416008979599087,0.003949681923813453
SUS304,0.108,0.003,7,0.00018835889965238513,-0.1471910090820534,0.589302943047175,0.5813546285567441,0.007948314490430874
SUS304,0.108,0.003,9,0.00026256556036026614,-0.2576654458082958,0.824301466049778,0.8103875319761301,0.013913934073647938
SUS304,0.108,0.003,11,0.00034929623120523234,-0.4081706268366657,1.10011600151965,1.0780747876704702,0.022041213849179897
SUS304,0.108,0.003,13,0.00045455123916243316,-0.6248675684058248,1.4366787720347576,1.402935923340843,0.03374284869391464
SUS304,0.108,0.003,15,0.0005898611160357519,-0.9501958902621609,1.871869578184502,1.8205590001103453,0.05131057807415673
SUS304,0.108,0.004,5,0.00015832489854381856,-0.054607367084731774,0.3694416185258592,0.3664928207032837,0.0029487978225755107
SUS304,0.108,0.004,7,0.000236112952470625,-0.11277309075120961,0.5526475072492343,0.546557760348669,0.006089746900565296
SUS304,0.108,0.004,9,0.00032293326466367056,-0.18983585889469012,0.7577818416202915,0.7475307052399782,0.010251136380313275
SUS304,0.108,0.004,11,0.0004218101795891421,-0.29896042982894133,0.9925563159634067,0.9764124527526439,0.016143863210762777
SUS304,0.108,0.004,13,0.0005359523694745148,-0.44718250909460777,1.2647783403858188,1.24063048489471,0.02414785549110876
SUS304,0.108,0.004,15,0.0006716277821725945,-0.6516899816062187,1.5898851992210752,1.5546939402143394,0.03519125900673581
SUS304,0.108,0.005,9,0.0003840178743847538,-0.15080293833192726,0.7192875704935423,0.7111442118236182,0.008143358669924106
SUS304,0.108,0.005,11,0.0004958894094673987,-0.2360634979120929,0.9310611501231766,0.9183137212359236,0.012747428887252998
