Material,Length,radius,Fratio,TDL,slope,intercept,AvgCurv,CurvDiff
SUS304,0.255,0.008,15,0.01065904411127342,-12.398473016073712,6.805826932722644,5.225021623173245,1.5808053095493984
SUS304,0.255,0.008,5,0.0027776408415567375,-0.9946241451923317,1.4884032263339524,1.3615886478219301,0.12681457851202227
SUS304,0.255,0.009,5,0.003090809843182876,-0.8922415168302993,1.460518895000602,1.346758101604739,0.11376079339586309
SUS304,0.255,0.009,7,0.00449309298096709,-1.7988164284931796,2.187123814008519,1.9577747193756385,0.22934909463288045
SUS304,0.255,0.009,9,0.0060074189526392015,-3.083847469757044,3.010802296463392,2.617611744069369,0.3931905523940231
SUS304,0.255,0.009,11,0.007658173917792338,-4.820840122689997,3.9515520689293964,3.336894953286422,0.6146571156429745
SUS304,0.255,0.009,13,0.009475896021489908,-7.267257571185427,5.055506068644185,4.128930728318043,0.9265753403261421
SUS304,0.255,0.009,15,0.011535486050975147,-10.67994246491203,6.388048242043233,5.0263555777669495,1.3616926642762834
SUS304,0.255,0.01,5,0.00340470308342628,-0.8068544674828187,1.438051624379071,1.3351776797750117,0.10287394460405941
SUS304,0.255,0.01,7,0.00493328732921977,-1.62143414952708,2.1413553361116713,1.9346224820469686,0.20673285406470265
SUS304,0.255,0.01,9,0.0065715656852142765,-2.7874383697927247,2.9324829745855436,2.5770845824369712,0.3553983921485724
SUS304,0.255,0.01,11,0.008344745858481235,-4.3360772494907955,3.825299205577227,3.272449356267151,0.5528498493100762
SUS304,0.255,0.01,13,0.010283929571659862,-6.430972190509215,4.852862511803597,4.032913557513671,0.8199489542899254
SUS304,0.255,0.01,15,0.012440313274576602,-9.370428434261756,6.0732838506925315,4.878554225324158,1.1947296253683737
SUS304,0.304,0.007,11,0.00659319032252671,-5.490978263142635,3.932932418989555,3.098303722991875,0.8346286959976803
SUS304,0.304,0.007,13,0.008402569507370563,-8.575089996888982,5.251989575847879,3.9485758963207536,1.3034136795271252
SUS304,0.304,0.007,15,0.010728446016909908,-13.773012714533893,7.135060910480349,5.041562977871197,2.093497932609152
SUS304,0.304,0.007,5,0.002514745457750538,-0.9652498720833027,1.328459267093569,1.181741286536907,0.14671798055666208
SUS304,0.304,0.007,7,0.0037200315235981084,-1.9472810550754047,2.044121834844257,1.7481351144727955,0.29598672037146145
SUS304,0.304,0.007,9,0.005066758486919649,-3.376127924429074,2.8941669740807234,2.380995529567504,0.5131714445132194
SUS304,0.304,0.008,7,0.004157656074001955,-1.7014749282001826,1.9681867195148632,1.7095625304284354,0.2586241890864278
SUS304,0.304,0.008,9,0.005621327849284434,-2.9689915651647754,2.7626879717226585,2.3114012538176127,0.4512867179050457
SUS304,0.304,0.008,11,0.007263820591441581,-4.707935013100942,3.702374457288046,2.986768335296703,0.715606121991343
SUS304,0.304,0.008,13,0.009154330905801398,-7.203616467602185,4.859066029474133,3.764116326398601,1.0949497030755317
SUS304,0.304,0.008,15,0.01144277263768113,-11.125610144828253,6.396180175270938,4.705087433257044,1.6910927420138941
SUS304,0.304,0.008,5,0.0028291466768408254,-0.8347154661899155,1.290177193640812,1.1633004427799447,0.12687675086086725
SUS304,0.304,0.009,5,0.0031405350037959022,-0.7583081575713908,1.2631192009873655,1.147856361036514,0.11526283995085151
SUS304,0.304,0.009,7,0.0045976903718708915,-1.4998911898796055,1.9084258482414118,1.6804423873797119,0.22798346086169996
